NEvent,1_1_t,1_2_t,1_3_t,1_4_t,2_1_t,2_2_t,2_3_t,2_4_t,3_1_t,3_2_t,3_3_t,3_4_t,4_1_t,4_2_t,4_3_t,4_4_t,5_1_t,5_2_t,5_3_t,5_4_t,6_1_t,6_2_t,6_3_t,6_4_t,7_1_t,7_2_t,7_3_t,7_4_t,8_1_t,8_2_t,8_3_t,8_4_t,9_1_t,9_2_t,9_3_t,9_4_t,nClusters,mTheta,theta,mPhi,phi
6627,-1.0,-1.0,-1.0,-1.0,65.07600000000002,51.36700000000019,-1.0,-1.0,-1.0,0.0,64.53200000000015,-1.0,59.5329999999999,38.90000000000009,-1.0,107.03700000000026,59.0,39.65599999999995,91.52700000000004,106.221,31.614000000000033,-1.0,57.99200000000019,64.0329999999999,58.92900000000009,7.222999999999956,46.61000000000013,-1.0,-1.0,10.246000000000095,-1.0,68.62800000000016,-1.0,-1.0,-1.0,-1.0,7,61.99802385300701,63.67,109.93092768535985,116.71
12188,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.86400000000003,22.960999999999785,308.962,29.804999999999836,90.38200000000006,31.614000000000033,26.991999999999734,58.33199999999988,61.70699999999988,26.697999999999865,10.80099999999993,44.577999999999975,-1.0,-1.0,-1.0,-1.0,23.26800000000003,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.61499999999978,15.014999999999873,6.346999999999753,47.516999999999825,5,58.495330825707754,42.9,199.2487670816954,198.78
12453,81.03200000000015,52.577999999999975,40.54500000000007,66.38500000000022,77.50800000000027,53.96100000000024,25.13700000000017,49.965999999999894,93.21399999999994,62.95499999999993,30.483000000000175,54.26200000000017,-1.0,-1.0,-1.0,-1.0,51.371000000000095,-1.0,0.0,21.902000000000044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.153999999999996,-1.0,51.5619999999999,-1.0,-1.0,-1.0,-1.0,5,49.43232698293039,51.32,224.58912657470307,212.71
31010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,40.809999999999945,70.91800000000012,45.46799999999985,24.0949999999998,46.66199999999981,-1.0,-1.0,-1.0,-1.0,99.34900000000016,-1.0,29.66899999999987,43.65599999999995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,43.561612738783104,44.25,230.99103504002065,234.01
71181,25.786000000000058,13.55600000000004,28.669000000000324,51.51999999999998,25.31100000000015,-1.0,20.644000000000233,39.51100000000042,31.403000000000247,0.0,36.41800000000012,55.513000000000375,-1.0,4.143000000000029,24.076000000000022,49.7470000000003,15.860000000000127,-1.0,18.702000000000226,30.830000000000382,28.632000000000062,13.115000000000236,32.031000000000404,46.271000000000186,-1.0,-1.0,-1.0,-1.0,24.66000000000031,2.961999999999989,28.228000000000065,50.43000000000029,30.12900000000036,5.871000000000095,32.98700000000008,49.031000000000404,8,37.74583282363615,41.01,138.93365304952619,139.26
77345,28.572999999999865,1.3579999999997199,21.24499999999989,47.36499999999978,42.371999999999844,22.06899999999996,32.740999999999985,61.88099999999986,35.70799999999963,0.18799999999964712,24.009999999999764,58.903999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.224999999999909,23.0649999999996,4,47.01048366464907,46.27,149.57756245969455,154.37
86037,46.19499999999971,21.947999999999865,-1.0,26.734999999999673,-1.0,-1.0,-1.0,-1.0,87.21099999999979,-1.0,11.407999999999902,34.65099999999984,54.33499999999958,-1.0,0.0,32.51599999999962,-1.0,36.91599999999971,3.993999999999687,35.11999999999989,32.386999999999716,17.076000000000022,-1.0,6.237999999999829,-1.0,-1.0,-1.0,-1.0,62.88599999999997,36.672000000000025,17.187999999999647,42.90299999999979,56.6869999999999,35.14300000000003,11.584999999999582,35.26399999999967,7,52.270668240185145,53.11,221.40643146226324,221.92
95666,26.46100000000024,16.603000000000065,36.26900000000023,53.00500000000011,-1.0,-1.0,-1.0,-1.0,28.48400000000038,8.437000000000353,47.29800000000023,64.15000000000009,-1.0,-1.0,-1.0,-1.0,17.532000000000153,0.0,22.855000000000018,41.710000000000036,28.351000000000113,14.34900000000016,39.051000000000386,49.85100000000011,21.66500000000042,6.953000000000429,4.6590000000001055,-1.0,33.638000000000375,14.64200000000028,40.47900000000027,61.0930000000003,-1.0,-1.0,-1.0,-1.0,6,37.05586827429906,40.27,129.93397940297223,130.05
97331,27.00799999999981,11.893000000000029,31.17099999999982,52.43399999999974,17.503999999999905,16.985000000000127,18.192000000000007,51.26299999999992,32.904999999999745,10.420999999999822,59.39800000000014,71.5319999999997,28.04300000000012,2.8859999999999673,31.873000000000047,57.365999999999985,-1.0,2.7649999999998727,28.054999999999836,50.72499999999991,-1.0,0.93100000000004,24.268999999999778,41.86999999999989,-1.0,-1.0,-1.0,-1.0,25.826000000000022,3.036999999999807,31.079999999999927,55.3449999999998,-1.0,-1.0,0.0,22.81399999999985,8,42.44796545901431,43.71,134.93168811652498,131.72
106908,32.19399999999996,14.920999999999822,38.042999999999665,59.65099999999984,27.67699999999968,11.578999999999724,30.75099999999975,51.10599999999977,31.57400000000007,6.889999999999873,48.496999999999844,70.11200000000008,27.51800000000003,0.04899999999997817,30.91300000000001,58.572999999999865,30.460000000000036,5.2729999999996835,33.83699999999999,57.42399999999998,24.592999999999847,5.339999999999691,29.753999999999905,44.192999999999756,46.35099999999966,8.96499999999969,25.577999999999975,-1.0,25.317999999999756,0.0,29.424999999999727,61.08699999999999,23.72699999999986,4.36200000000008,40.789999999999964,46.041999999999916,9,45.65573245027575,44.92,133.04441929219075,132.84
