,X_1,Y_1,Z_1,t_1,X_2,Y_2,Z_2,t_2,X_3,Y_3,Z_3,t_3,X_4,Y_4,Z_4,t_4,X_5,Y_5,Z_5,t_5,X_6,Y_6,Z_6,t_6,X_7,Y_7,Z_7,t_7,X_8,Y_8,Z_8,t_8,X_9,Y_9,Z_9,t_9,X_10,Y_10,Z_10,t_10,X_11,Y_11,Z_11,t_11,X_12,Y_12,Z_12,t_12,X_13,Y_13,Z_13,t_13,X_14,Y_14,Z_14,t_14,X_15,Y_15,Z_15,t_15,X_16,Y_16,Z_16,t_16,X_17,Y_17,Z_17,t_17,X_18,Y_18,Z_18,t_18,X_19,Y_19,Z_19,t_19,X_20,Y_20,Z_20,t_20,X_21,Y_21,Z_21,t_21,X_22,Y_22,Z_22,t_22,X_23,Y_23,Z_23,t_23,X_24,Y_24,Z_24,t_24,X_25,Y_25,Z_25,t_25,X_26,Y_26,Z_26,t_26,X_27,Y_27,Z_27,t_27,X_28,Y_28,Z_28,t_28,X_29,Y_29,Z_29,t_29,X_30,Y_30,Z_30,t_30,X_31,Y_31,Z_31,t_31,X_32,Y_32,Z_32,t_32,X_33,Y_33,Z_33,t_33,X_34,Y_34,Z_34,t_34,X_35,Y_35,Z_35,t_35,X_36,Y_36,Z_36,t_36,clusters_bit,clusters_num,theta,phi
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.479,12.65,0.0,2357.533,-6.872,12.65,0.0,2325.92,-6.872,-12.63,0.0,2373.844,6.479,-12.63,0.0,2380.98,37.369,10.956,-14.946,2365.333,22.469,10.956,-15.266,2321.112,22.469,-3.952,-15.346,2341.396,,,,,,,,,,,,,22.977,28.482,-16.111,2318.632,37.367,28.482,-16.511,2345.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.94,-16.802,-15.456,2330.303,26.94,-32.102,-15.456,2347.037,42.14,-32.102,-14.686,2373.221,-25.359,-25.745,-7.329,2371.481,-37.255,-25.745,-7.364,2337.567,-37.255,-39.545,-7.339,2357.974,-25.359,-39.545,-7.279,2407.906,412,9,0.7845254987714512,2.5841344905028043
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.369,10.956,-14.946,2352.19,22.469,10.956,-15.266,2315.897,,,,,,,,,37.369,45.572,-16.166,2327.643,22.977,45.572,-16.461,2608.051,22.977,28.482,-16.111,2607.728,37.367,28.482,-16.511,2346.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.14,-16.802,-15.136,2325.278,,,,,26.94,-32.102,-15.456,2312.767,42.14,-32.102,-14.686,2350.789,,,,,,,,,,,,,,,,,152,5,0.8243190057169217,2.631781979082249
12,,,,,,,,,,,,,,,,,-25.359,37.335,-6.684,2332.954,,,,,-37.609,24.135,-6.684,2354.679,,,,,6.479,12.65,0.0,2355.301,-6.872,12.65,0.0,2333.075,-6.872,-12.63,0.0,2381.865,6.479,-12.63,0.0,2394.025,37.369,10.956,-14.946,2354.559,22.469,10.956,-15.266,2329.539,22.469,-3.952,-15.346,2367.56,37.369,-3.952,-15.076,2391.658,37.369,45.572,-16.166,2360.187,22.977,45.572,-16.461,2336.341,22.977,28.482,-16.111,2368.296,37.367,28.482,-16.511,2388.563,6.915,-56.16,-16.151,2316.019,,,,,,,,,6.915,-70.539,-16.101,2344.24,-9.541,53.623,-17.031,2371.251,-20.557,64.708,-17.796,2331.922,-20.557,53.623,-17.501,2352.728,,,,,,,,,26.94,-16.802,-15.456,2306.967,26.94,-32.102,-15.456,2344.033,42.14,-32.102,-14.686,2364.55,,,,,,,,,,,,,,,,,254,13,0.87720248205235,2.290919176167757
13,-25.359,5.885,-6.684,2355.008,,,,,,,,,-25.359,-7.315,-6.684,2347.056,,,,,,,,,,,,,,,,,6.479,12.65,0.0,2391.323,-6.872,12.65,0.0,2355.466,-6.872,-12.63,0.0,2333.613,6.479,-12.63,0.0,2356.798,,,,,22.469,10.956,-15.266,2322.995,,,,,37.369,-3.952,-15.076,2347.344,,,,,22.977,45.572,-16.461,2338.873,22.977,28.482,-16.111,2321.183,37.367,28.482,-16.511,2353.592,6.915,-56.16,-16.151,2346.421,-2.794,-56.16,-15.911,2337.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,9,0.7464773210779748,3.5480798363792725
14,-25.359,5.885,-6.684,2347.975,-37.609,5.885,-6.684,2356.288,-37.609,-7.315,-6.684,2346.676,-25.359,-7.315,-6.684,2368.055,-25.359,37.335,-6.684,2381.092,-37.609,37.335,-6.684,2351.293,-37.609,24.135,-6.684,2344.359,-25.359,24.135,-6.684,2376.473,6.479,12.65,0.0,2359.75,-6.872,12.65,0.0,2328.467,-6.872,-12.63,0.0,2366.612,6.479,-12.63,0.0,2376.235,37.369,10.956,-14.946,2370.622,22.469,10.956,-15.266,2341.713,22.469,-3.952,-15.346,2357.954,37.369,-3.952,-15.076,2388.814,,,,,,,,,,,,,,,,,6.915,-56.16,-16.151,2343.158,-2.794,-56.16,-15.911,2353.031,,,,,6.915,-70.539,-16.101,2355.038,-9.541,53.623,-17.031,2380.456,-20.557,64.708,-17.796,2342.083,-20.557,53.623,-17.501,2352.176,,,,,42.14,-16.802,-15.136,2361.321,26.94,-16.802,-15.456,2333.247,26.94,-32.102,-15.456,2352.658,42.14,-32.102,-14.686,2382.76,-25.359,-25.745,-7.329,2332.02,-37.255,-25.745,-7.364,2345.436,,,,,,,,,495,15,0.7215191127744559,2.6991516882092306
15,-25.359,5.885,-6.684,2363.537,-37.609,5.885,-6.684,2347.623,-37.609,-7.315,-6.684,2355.692,-25.359,-7.315,-6.684,2387.763,-25.359,37.335,-6.684,2339.612,-37.609,37.335,-6.684,2326.513,-37.609,24.135,-6.684,2330.361,-25.359,24.135,-6.684,2355.342,6.479,12.65,0.0,2362.012,-6.872,12.65,0.0,2331.431,-6.872,-12.63,0.0,2357.695,6.479,-12.63,0.0,2382.526,37.369,10.956,-14.946,2367.086,22.469,10.956,-15.266,2336.595,22.469,-3.952,-15.346,2356.873,37.369,-3.952,-15.076,2387.53,37.369,45.572,-16.166,2363.936,22.977,45.572,-16.461,2335.881,22.977,28.482,-16.111,2354.823,37.367,28.482,-16.511,2382.828,6.915,-56.16,-16.151,2344.378,-2.794,-56.16,-15.911,2331.673,,,,,6.915,-70.539,-16.101,2504.761,-9.541,53.623,-17.031,2357.792,-20.557,64.708,-17.796,2321.276,-20.557,53.623,-17.501,2346.97,,,,,42.14,-16.802,-15.136,2360.99,26.94,-16.802,-15.456,2331.636,26.94,-32.102,-15.456,2353.162,42.14,-32.102,-14.686,2383.035,,,,,,,,,,,,,,,,,255,15,0.7785913793146704,2.6429520862950135
16,-25.359,5.885,-6.684,2381.636,-37.609,5.885,-6.684,2335.653,-37.609,-7.315,-6.684,2326.212,-25.359,-7.315,-6.684,2352.519,-25.359,37.335,-6.684,2346.538,,,,,-37.609,24.135,-6.684,2294.351,-25.359,24.135,-6.684,2334.806,,,,,,,,,,,,,,,,,37.369,10.956,-14.946,2355.651,22.469,10.956,-15.266,2608.697,22.469,-3.952,-15.346,2306.456,37.369,-3.952,-15.076,2347.015,37.369,45.572,-16.166,2382.467,22.977,45.572,-16.461,2348.496,22.977,28.482,-16.111,2333.667,37.367,28.482,-16.511,2356.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.14,-16.802,-15.136,2349.824,,,,,,,,,42.14,-32.102,-14.686,2341.488,-25.359,-25.745,-7.329,2360.438,-37.255,-25.745,-7.364,2358.415,-37.255,-39.545,-7.339,2330.739,-25.359,-39.545,-7.279,2346.929,411,11,0.8539896030008255,3.5856044152971505
17,,,,,,,,,,,,,,,,,-25.359,37.335,-6.684,2342.411,-37.609,37.335,-6.684,2351.708,-37.609,24.135,-6.684,2374.775,,,,,,,,,,,,,-6.872,-12.63,0.0,2351.704,6.479,-12.63,0.0,2328.586,37.369,10.956,-14.946,2350.394,22.469,10.956,-15.266,2322.941,22.469,-3.952,-15.346,2363.146,37.369,-3.952,-15.076,2389.565,,,,,22.977,45.572,-16.461,2300.025,22.977,28.482,-16.111,2341.533,37.367,28.482,-16.511,2358.665,,,,,-2.794,-56.16,-15.911,2320.744,-2.794,-70.539,-15.931,2356.809,,,,,,,,,-20.557,64.708,-17.796,2334.361,-20.557,53.623,-17.501,2347.303,-9.541,42.539,-16.931,2713.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,11,1.044055958543008,2.0936969706923976
18,-25.359,5.885,-6.684,2353.254,-37.609,5.885,-6.684,2331.296,-37.609,-7.315,-6.684,2057.514,-25.359,-7.315,-6.684,2341.638,-25.359,37.335,-6.684,2358.557,-37.609,37.335,-6.684,2338.386,-37.609,24.135,-6.684,2318.417,-25.359,24.135,-6.684,2347.974,6.479,12.65,0.0,2390.952,-6.872,12.65,0.0,2360.758,-6.872,-12.63,0.0,2327.883,6.479,-12.63,0.0,1752.204,,,,,,,,,,,,,,,,,37.369,45.572,-16.166,2393.729,22.977,45.572,-16.461,2357.34,22.977,28.482,-16.111,2337.274,37.367,28.482,-16.511,1976.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.14,-16.802,-15.136,2347.413,,,,,26.94,-32.102,-15.456,2294.744,,,,,,,,,,,,,,,,,,,,,151,9,0.8243190057169217,3.621732730813433
19,-25.359,5.885,-6.684,2359.614,-37.609,5.885,-6.684,2328.6,-37.609,-7.315,-6.684,2350.425,-25.359,-7.315,-6.684,2376.918,-25.359,37.335,-6.684,2355.585,-37.609,37.335,-6.684,2335.879,-37.609,24.135,-6.684,2336.82,,,,,,,,,-6.872,12.65,0.0,2328.83,-6.872,-12.63,0.0,2347.226,6.479,-12.63,0.0,1773.414,,,,,,,,,,,,,,,,,,,,,22.977,45.572,-16.461,2316.518,,,,,37.367,28.482,-16.511,2359.168,6.915,-56.16,-16.151,2344.565,-2.794,-56.16,-15.911,2322.275,-2.794,-70.539,-15.931,2334.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.359,-25.745,-7.329,2396.069,-37.255,-25.745,-7.364,2337.824,-37.255,-39.545,-7.339,2355.125,-25.359,-39.545,-7.279,2379.951,311,11,0.8262388678941157,2.7138124539259834
