RUN	Event	Teta	Fi	Nview	NviewCorr	Sdet	Dens	DensCorr	NgoodPMT	NhitPMT	SumNpeGoodCorr	SpecEnDep	NupSCT	NdnSCT
810	425262	49.26	213	5	5.00226	29.8478	0.0972354	0.0994777	520	400	9159.54	92076.3	3	0
810	439209	41.07	201.98	8	8.00926	25.7182	0.229769	0.231808	520	416	9384.15	40482.4	1	1
810	447110	56.6	151.3	5	5.00226	33.3492	0.0870265	0.0890333	520	343	7989.03	89730.8	1	0
810	449575	57.05	234.09	6	6.00391	29.4884	0.132388	0.134794	520	204	1749.18	12976.7	0	1
810	450572	62.06	246.7	14	14.0497	26.6484	0.44842	0.441389	520	500	31069.6	70390.5	2	1
810	452334	44.9	156.02	5	5.00226	27.8448	0.10423	0.106634	520	61	608.385	5705.38	0	0
810	473557	49.28	124.49	7	7.00621	26.0132	0.188604	0.191141	520	358	7854.09	41090.6	1	0
810	478038	44.2	141.15	8	8.00926	26.7887	0.220588	0.222545	520	289	3667.7	16480.7	2	0
810	484966	66.69	203.17	6	6.00391	36.9838	0.105557	0.107476	520	222	2728.33	25385.5	0	0
810	491464	50.35	132.02	5	5.00226	28.2904	0.102588	0.104954	520	171	1306.14	12444.9	0	1
810	498327	42.31	242.49	5	5.00226	20.9854	0.138299	0.141488	520	288	4656.88	32913.5	0	3
810	499469	50.04	156.09	5	5.00226	30.4228	0.0953976	0.0975975	520	301	6642.62	68061.4	1	0
810	501271	63	159.71	5	5.00226	35.6331	0.0814485	0.0833267	520	348	5406.75	64886.2	0	0
810	501954	46.43	135.13	13	13.0398	27.0599	0.404279	0.399463	520	430	10801.3	27039.4	0	2
810	507999	47.64	239.43	7	7.00621	24.202	0.202719	0.205446	520	321	6159.54	29981.4	1	0
810	515772	41.24	161.76	7	7.00621	25.6086	0.191584	0.194161	520	484	19359.2	99706.9	8	0
810	541844	46.2	210.09	8	8.00926	28.4737	0.207534	0.209375	520	449	15635.1	74674.9	3	1
810	543274	44.43	152.38	6	6.00391	27.6125	0.141382	0.143952	520	483	21192.6	147220	11	1
810	563330	52.14	159.56	15	15.0611	31.2644	0.414564	0.406551	520	462	17894.9	44016.3	1	0
810	565510	45.53	125.28	5	5.00226	24.5619	0.118161	0.120886	520	360	7203.93	59592.7	3	0
810	566013	53.33	198.82	7	7.00621	31.6908	0.154815	0.156897	520	341	5583	35583.9	1	0
810	575108	40.59	223.37	7	7.00621	24.3138	0.201787	0.2045	520	381	8553.75	41827.5	0	1
810	575162	57.71	158.57	5	5.00226	33.7173	0.0860763	0.0880612	520	181	2142.7	24332	0	0
810	581153	57.45	242.62	7	7.00621	26.844	0.182768	0.185226	520	317	5107.65	27575.3	0	0
810	582525	56.6	242.92	5	5.00226	26.4498	0.109727	0.112257	520	296	4138.16	36863.1	0	0
810	583299	54.46	117.67	5	5.00226	25.9181	0.111978	0.114561	520	423	12205.2	106540	1	1
810	586899	66.62	214.67	5	5.00226	36.5841	0.0793313	0.0811606	520	282	5000.51	61612.5	0	0
810	593177	43.61	226.57	5	5.00226	25.3736	0.114381	0.117019	520	327	5593.28	47798.1	0	1
810	604550	45.42	208.26	11	11.0241	28.1213	0.317343	0.316074	520	422	12454.9	39404.9	1	1
810	607954	42.57	153.84	5	5.00226	26.6236	0.109011	0.111525	520	313	4277.81	38357.5	0	1
810	608867	42.14	195.64	7	7.00621	25.8796	0.189578	0.192128	520	492	19899.1	103572	8	0
810	613261	51.15	162.65	8	8.00926	30.5757	0.193267	0.194981	520	419	10903.2	55919.3	2	1
810	615960	46.82	223.43	7	7.00621	27.4852	0.178504	0.180904	520	320	4979.39	27525	1	0
810	626298	48.23	129.26	28	28.3973	26.7404	0.983427	0.926984	520	518	65506.5	70666.3	11	1
810	647315	41.53	108.24	8	8.00926	17.6276	0.335228	0.338202	520	503	35498.8	104963	19	1
810	650402	41.68	164.64	5	5.00226	25.6028	0.113357	0.115971	520	428	11131.3	95983.7	2	1
810	664531	49.52	152.91	6	6.00391	30.1948	0.129291	0.131641	520	328	6064.8	46070.9	0	0
810	708137	61.56	157.14	10	10.0181	35.2551	0.224594	0.224629	520	364	7701.8	34286.8	0	1
810	714351	49.74	249.66	8	8.00926	21.5032	0.274808	0.277246	520	413	11083.8	39978.3	1	2
810	729721	47.82	131.58	5	5.00226	27.0535	0.107278	0.109752	520	257	3156.54	28760.6	0	0
810	729803	50.98	129.38	6	6.00391	27.9798	0.139526	0.142062	520	279	4144.02	29170.5	1	0
810	737619	40.96	126.04	5	5.00226	22.5663	0.12861	0.131576	520	368	6288.64	47794.7	0	0
810	748329	48.03	160.86	5	5.00226	29.2234	0.099313	0.101603	520	85	660.279	6498.6	0	0
810	748727	58.02	209.63	6	6.00391	33.8969	0.11517	0.117263	520	319	5686.71	48495.1	0	0
